name,address,icon,userComment,rating,tags,photos
"Foyer de la Madeleine","Place de la Madeleine, 75008 Paris, France","restaurant","","","À essayer#Restaurant",""
"Judy Rousseau","14 Rue Jean-Jacques Rousseau, Paris 75001","cafe","","","À essayer#Cafe#Grignotage#Tranquilou",""
"Chez Joséphine - Mercerie, tissus et atelier couture","Rue du Bois, Frouard, France","generic","","","À essayer#Mercerie",""
"Folie Store Coffee Shop","5 Rue de la Folie Mericourt, 75011 Paris","cafe","","","À essayer#Cafe#Tranquilou#Kids",""
"April cafe - coffee shop - café poussette - Paris 10eme","13 Rue des Récollets, 75010 Paris, France","cafe","","","À essayer#Cafe#Kids",""
"TRIBU café récréatif","183 Rue du Faubourg Poissonnière, 75009 Paris, France","cafe","","","À essayer#Cafe#Kids",""
"Château Laurens","5 Chemin de la Vallée, 34300 Agde, France","generic","","","À essayer#A visiter#Monument",""
"Les Marchands de Vins","9 Rue Biot, 75017 Paris, France","restaurant","","","À essayer#Restaurant",""
"Scilicet","134 Voie Georges Pompidou, 75001 Paris, France","bar","","","À essayer#Bar",""
"Paco","80 Rue de Maubeuge, 75009 Paris, France","restaurant","","","À essayer#Bar",""
"Boulangerie Nicolas Flamel","34 Rue de Montmorency, Paris","restaurant","","","À essayer#Boulangerie#Grignotage",""
"Birdie Num Num","91 Rue Lamarck, Paris 75018","cafe","","","À essayer#Tranquilou#Restaurant#Vegan",""
"Atelier Aude","39 Rue Courtejaire, 11000 Carcassonne, France","generic","","","À essayer#Mercerie",""
"Touki Bouki","68 Rue Julien Lacroix, Paris 75020","bar","","","À essayer#Restaurant",""
"Le Mansart","1 Rue Mansart, 75009 Paris, France","bar","","","À essayer#Restaurant",""
"Sain Boulangerie","23 Rue des Gravilliers, 75003 Paris, France","generic","","","À essayer#Boulangerie#Cafe#Tranquilou",""
"ORTO PARIS","75 Rue des Gravilliers, Paris","restaurant","","","À essayer#Sandwich",""
"iRASSHAi","40 rue du Louvre, Paris 75001","bar","","","À essayer#Restaurant#Boutique",""
"ABRA Pâtisserie Paris","1 Rue des Mauvais Garçons, 75004 Paris, France","generic","","","À essayer#Cafe#Boulangerie",""
"Boulangerie Paris & Co Convention","4 Rue de la Convention, 75015 Paris, France","restaurant","Bar à flan","","À essayer#Boulangerie",""
"Boulangerie Du Pain et Des Idées","34 Rue Yves Toudic, Paris 75010","generic","Meilleur pain grosse croûte de Raphael","","À essayer#Boulangerie",""
"Café Gizèle","16 Rue de Bagnolet, Paris","restaurant","","","À essayer#Grignotage#Cafe#Tranquilou",""
"Fondation Villa Datris pour la sculpture contemporaine","7 Avenue des Quatre Otages, 84800 L'Isle-sur-la-Sorgue, France","museum","","","À essayer#Musee",""
"Olympe","32 Rue Hoche, 93500 Pantin, France","restaurant","","","À essayer#Restaurant",""
"A Casa Portuguesa","Carrer de l'Or, 8, 08012 Barcelona, Espagne","cafe","","","Grignotage",""
"Honest Greens Barceloneta","Passeig del Mare Nostrum, 15, local 1, Ciutat Vella, 08039 Barcelona, Espagne","restaurant","","","À essayer#Restaurant",""
"La Caverne aux Livres","Place de la Gare, 95430 Auvers-sur-Oise, France","generic","Bibliothèque dans un train","","À essayer#Insolite#Librairie",""
"La Merecida","Calle de las Huertas, 20, Madrid","bar","","","À essayer#Bar",""
"L'Adoré","Plaza de Cascorro, 20, Madrid","cafe","","","Cafe#Tranquilou",""
"Matadero Madrid","Plaza de Legazpi, 8, 28045 Madrid, Madrid, Espagne","museum","","","À essayer#Musee",""
